epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6359,1.24424,5.71922,0.01593,0.01424,0.21583,0.02212,0.01361,1.06238,3.87314,0.01585,9.72097e-05,9.72097e-05,9.72097e-05
2,47.9736,1.16568,5.25996,0.0142,0.64102,0.05499,0.05301,0.0404,1.12229,3.27521,0.01748,0.000191345,0.000191345,0.000191345
3,70.7473,1.16891,4.78528,0.01467,0.40068,0.15852,0.11714,0.08679,1.14946,2.93022,0.01814,0.000281599,0.000281599,0.000281599
4,93.3016,1.18519,4.43832,0.01541,0.21274,0.23546,0.14413,0.10484,1.20663,2.75691,0.01928,0.000276536,0.000276536,0.000276536
5,115.862,1.2308,4.08965,0.01555,0.27891,0.23751,0.16053,0.11429,1.17648,2.52494,0.01848,0.000270715,0.000270715,0.000270715
6,138.487,1.21909,3.83437,0.01531,0.21196,0.28621,0.21266,0.15067,1.21397,2.40351,0.01945,0.000264894,0.000264894,0.000264894
7,160.946,1.20706,3.61054,0.01506,0.29351,0.28914,0.24992,0.18287,1.20561,2.28197,0.01905,0.000259073,0.000259073,0.000259073
8,183.235,1.21758,3.4139,0.01504,0.26409,0.32925,0.26491,0.18658,1.20608,2.19259,0.01931,0.000253252,0.000253252,0.000253252
9,205.771,1.19171,3.28099,0.01511,0.33418,0.35613,0.3173,0.22868,1.20757,2.11637,0.01897,0.00024743,0.00024743,0.00024743
10,228.251,1.19054,3.14763,0.01531,0.32768,0.3817,0.33196,0.23106,1.23597,2.08346,0.0199,0.000241609,0.000241609,0.000241609
11,259.753,1.22474,3.0143,0.01543,0.36149,0.36658,0.34909,0.24594,1.22266,2.01381,0.01917,0.000235788,0.000235788,0.000235788
12,282.633,1.21129,2.88431,0.01517,0.35827,0.40982,0.36813,0.26084,1.2048,2.00139,0.01889,0.000229967,0.000229967,0.000229967
13,305.313,1.19917,2.8172,0.01535,0.39218,0.40028,0.37024,0.26303,1.21372,1.95227,0.01903,0.000224146,0.000224146,0.000224146
14,328.111,1.21549,2.7271,0.01535,0.40625,0.3923,0.3826,0.26404,1.21139,1.89523,0.01901,0.000218324,0.000218324,0.000218324
15,350.975,1.2031,2.60494,0.01482,0.35992,0.42445,0.36437,0.25828,1.2144,1.95487,0.01917,0.000212503,0.000212503,0.000212503
