epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.8548,1.3642,6.16791,0.01845,0.21563,0.08338,0.05611,0.03984,1.22641,3.1833,0.01952,9.7608e-05,9.7608e-05,9.7608e-05
2,83.4689,1.30554,4.01585,0.01724,0.22127,0.22085,0.1538,0.1035,1.25103,2.68841,0.02072,0.00019238,0.00019238,0.00019238
3,123.557,1.32745,3.29474,0.01748,0.32828,0.29516,0.23113,0.15116,1.26985,2.43998,0.02083,0.000283919,0.000283919,0.000283919
4,163.842,1.34612,2.96164,0.01787,0.34619,0.3469,0.28105,0.19902,1.25848,2.26216,0.02056,0.000279447,0.000279447,0.000279447
5,212.264,1.30435,2.69066,0.01775,0.3256,0.39543,0.36539,0.24861,1.28235,2.11881,0.0211,0.000274596,0.000274596,0.000274596
6,303.356,1.31501,2.51288,0.01785,0.45151,0.36826,0.37939,0.25996,1.29762,2.02278,0.02155,0.000269745,0.000269745,0.000269745
7,369.112,1.31529,2.39986,0.01754,0.50627,0.39294,0.42633,0.29056,1.27065,1.92246,0.02076,0.000264894,0.000264894,0.000264894
8,435.198,1.30358,2.27477,0.01689,0.43234,0.42452,0.42898,0.29337,1.26626,1.8244,0.02049,0.000260043,0.000260043,0.000260043
9,500.898,1.28087,2.18729,0.01705,0.41698,0.43532,0.41397,0.28516,1.26849,1.94479,0.02116,0.000255192,0.000255192,0.000255192
10,567.446,1.27557,2.14751,0.01703,0.46758,0.46113,0.4504,0.32086,1.25814,1.78536,0.02012,0.000250341,0.000250341,0.000250341
11,634.458,1.26512,2.06097,0.01705,0.44236,0.45582,0.4525,0.30872,1.284,1.7539,0.02113,0.00024549,0.00024549,0.00024549
12,698.24,1.27086,2.02208,0.01651,0.46018,0.49072,0.47445,0.33028,1.25458,1.70698,0.02029,0.000240639,0.000240639,0.000240639
13,736.619,1.26545,1.91995,0.01665,0.48396,0.48994,0.49855,0.34263,1.2577,1.67529,0.02071,0.000235788,0.000235788,0.000235788
14,775.21,1.23185,1.89609,0.01672,0.48392,0.49841,0.49114,0.33963,1.25221,1.63162,0.02033,0.000230937,0.000230937,0.000230937
15,813.825,1.2486,1.82898,0.01619,0.49268,0.49952,0.48332,0.33592,1.2442,1.72186,0.02041,0.000226086,0.000226086,0.000226086
16,853.597,1.24181,1.77478,0.01631,0.43997,0.53503,0.47645,0.33023,1.22681,1.62164,0.01988,0.000221235,0.000221235,0.000221235
17,893.157,1.22461,1.74556,0.01595,0.44096,0.52671,0.49381,0.34264,1.24941,1.68715,0.02041,0.000216384,0.000216384,0.000216384
18,932.448,1.20371,1.67302,0.0158,0.46589,0.51263,0.49005,0.33731,1.23026,1.64362,0.01999,0.000211533,0.000211533,0.000211533
19,971.505,1.20672,1.63543,0.01582,0.51722,0.52546,0.55667,0.38308,1.25019,1.59863,0.02027,0.000206682,0.000206682,0.000206682
20,1011.14,1.2044,1.62428,0.01557,0.50996,0.51218,0.51117,0.35787,1.23417,1.67792,0.02022,0.000201831,0.000201831,0.000201831
21,1051.28,1.21431,1.61211,0.01553,0.50742,0.52394,0.50373,0.35511,1.22924,1.62294,0.0198,0.00019698,0.00019698,0.00019698
22,1091.76,1.19889,1.59808,0.01589,0.49103,0.53862,0.52569,0.35942,1.25528,1.6231,0.02081,0.000192129,0.000192129,0.000192129
