epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.9733,1.36177,4.29332,1.59725,0.37785,0.1307,0.04982,0.03114,1.28329,3.56899,1.56465,9.76048e-05,9.76048e-05,9.76048e-05
2,92.9693,1.34076,3.75672,1.56945,0.16822,0.20193,0.12402,0.0836,1.32845,3.00941,1.61253,0.000191732,0.000191732,0.000191732
3,138.805,1.33277,3.46666,1.55646,0.15602,0.25211,0.14223,0.09838,1.31066,2.78298,1.60057,0.000281978,0.000281978,0.000281978
4,184.835,1.35789,3.27093,1.56423,0.25211,0.22884,0.18219,0.12227,1.32391,2.61388,1.58316,0.000276536,0.000276536,0.000276536
5,231.66,1.32835,3.10537,1.53152,0.17123,0.31571,0.18974,0.12375,1.33662,2.66568,1.62311,0.000270715,0.000270715,0.000270715
6,277.622,1.31072,3.01154,1.5352,0.22783,0.3581,0.23809,0.15743,1.31145,2.41029,1.55376,0.000264894,0.000264894,0.000264894
7,323.392,1.30961,2.90946,1.51382,0.22309,0.34683,0.26298,0.17848,1.31643,2.39574,1.5811,0.000259073,0.000259073,0.000259073
8,368.817,1.30184,2.82597,1.50349,0.23889,0.38706,0.28249,0.18607,1.32463,2.30157,1.56495,0.000253252,0.000253252,0.000253252
9,414.809,1.29316,2.7834,1.49941,0.3224,0.35558,0.2982,0.20696,1.29738,2.26406,1.51455,0.00024743,0.00024743,0.00024743
10,478.794,1.26039,2.72708,1.46588,0.29589,0.3805,0.29389,0.19203,1.31206,2.31278,1.51421,0.000241609,0.000241609,0.000241609
11,539.165,1.26919,2.68252,1.47558,0.34077,0.39867,0.34953,0.22828,1.28522,2.17063,1.50892,0.000235788,0.000235788,0.000235788
12,584.929,1.27617,2.61702,1.46907,0.34952,0.43801,0.3771,0.24891,1.28486,2.0739,1.48728,0.000229967,0.000229967,0.000229967
13,630.494,1.25077,2.53948,1.45269,0.30085,0.40843,0.33838,0.22569,1.29051,2.16455,1.51392,0.000224146,0.000224146,0.000224146
14,675.856,1.25094,2.49414,1.44277,0.32246,0.41198,0.36751,0.2457,1.27324,2.04081,1.47335,0.000218324,0.000218324,0.000218324
15,721.403,1.23735,2.48725,1.44053,0.42213,0.406,0.39818,0.26157,1.28807,1.99738,1.48519,0.000212503,0.000212503,0.000212503
16,766.721,1.23198,2.45174,1.42726,0.37207,0.39488,0.38873,0.26298,1.27961,2.00647,1.48384,0.000206682,0.000206682,0.000206682
17,812.358,1.21662,2.38364,1.42884,0.38049,0.45194,0.38701,0.25552,1.29312,1.97527,1.47468,0.000200861,0.000200861,0.000200861
18,858.033,1.22419,2.38805,1.42928,0.40498,0.44823,0.39384,0.26701,1.27004,1.98721,1.46091,0.00019504,0.00019504,0.00019504
19,903.611,1.20838,2.35467,1.42984,0.3208,0.4759,0.3988,0.2641,1.29198,1.97022,1.47251,0.000189218,0.000189218,0.000189218
20,949.175,1.22099,2.32057,1.42096,0.3963,0.46248,0.42324,0.28636,1.26952,1.93373,1.4459,0.000183397,0.000183397,0.000183397
21,994.576,1.22101,2.30714,1.42171,0.41502,0.43716,0.41806,0.28182,1.264,1.90884,1.45867,0.000177576,0.000177576,0.000177576
22,1039.85,1.21215,2.2877,1.41848,0.38605,0.45065,0.4215,0.28548,1.25727,1.88419,1.43484,0.000171755,0.000171755,0.000171755
23,1085.2,1.21371,2.24232,1.41054,0.36928,0.47801,0.42579,0.28716,1.25984,1.85759,1.45149,0.000165934,0.000165934,0.000165934
24,1130.4,1.20609,2.18509,1.40418,0.34769,0.49973,0.42032,0.28257,1.27218,1.89027,1.46404,0.000160112,0.000160112,0.000160112
25,1176.07,1.18291,2.1912,1.39378,0.40866,0.45165,0.43559,0.29595,1.2642,1.84724,1.4435,0.000154291,0.000154291,0.000154291
26,1221.76,1.19578,2.1727,1.39906,0.42024,0.4737,0.43287,0.29842,1.26519,1.81337,1.45631,0.00014847,0.00014847,0.00014847
27,1267.5,1.19419,2.1116,1.37708,0.44152,0.47389,0.46104,0.31526,1.26163,1.80211,1.45131,0.000142649,0.000142649,0.000142649
28,1313.65,1.16212,2.10533,1.38787,0.3817,0.5226,0.4501,0.30357,1.2588,1.7948,1.43717,0.000136828,0.000136828,0.000136828
29,1359.83,1.2018,2.10441,1.3927,0.3843,0.48354,0.44549,0.29685,1.27596,1.78302,1.45356,0.000131006,0.000131006,0.000131006
30,1406.25,1.19243,2.066,1.38824,0.38418,0.46751,0.43108,0.29256,1.25692,1.78651,1.44351,0.000125185,0.000125185,0.000125185
31,1452.75,1.16427,2.05655,1.3834,0.43263,0.45151,0.45854,0.31238,1.27695,1.77573,1.45593,0.000119364,0.000119364,0.000119364
32,1498.47,1.17442,2.03795,1.37495,0.44758,0.47626,0.46114,0.32025,1.25031,1.75715,1.44267,0.000113543,0.000113543,0.000113543
33,1544.22,1.16654,2.02757,1.38125,0.42508,0.45764,0.45369,0.30867,1.25386,1.76296,1.4355,0.000107722,0.000107722,0.000107722
