epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.0476,1.42629,3.92407,1.65019,0.24407,0.20682,0.15317,0.10467,1.28198,2.79672,1.52522,9.7608e-05,9.7608e-05,9.7608e-05
2,62.3707,1.31021,2.92,1.48374,0.25355,0.33604,0.24615,0.166,1.31588,2.47507,1.51432,0.00019238,0.00019238,0.00019238
3,90.994,1.29462,2.6563,1.4567,0.35102,0.34003,0.28399,0.18659,1.32037,2.37817,1.48385,0.000283919,0.000283919,0.000283919
4,120.041,1.29421,2.55186,1.45511,0.28207,0.36994,0.27958,0.1868,1.30312,2.21169,1.48424,0.000279447,0.000279447,0.000279447
5,149.364,1.25493,2.37128,1.44377,0.33247,0.41389,0.35092,0.2346,1.32261,2.03867,1.49547,0.000274596,0.000274596,0.000274596
6,178.668,1.25439,2.25809,1.42853,0.35667,0.44828,0.39836,0.26775,1.28097,1.88897,1.47841,0.000269745,0.000269745,0.000269745
7,208.04,1.24442,2.15751,1.43442,0.48935,0.38398,0.37626,0.25336,1.30608,2.11544,1.47298,0.000264894,0.000264894,0.000264894
8,237.239,1.22676,2.08009,1.39923,0.39935,0.44197,0.41006,0.2795,1.28289,1.82987,1.43931,0.000260043,0.000260043,0.000260043
9,266.744,1.21126,1.97262,1.39894,0.45556,0.4657,0.43124,0.29153,1.2627,1.81986,1.44907,0.000255192,0.000255192,0.000255192
10,296.468,1.20755,1.95654,1.40346,0.40563,0.46114,0.44844,0.30891,1.27377,1.82859,1.45865,0.000250341,0.000250341,0.000250341
11,325.805,1.20607,1.90327,1.4071,0.38603,0.51631,0.454,0.31204,1.2665,1.75967,1.44658,0.00024549,0.00024549,0.00024549
12,355.287,1.18131,1.85763,1.37405,0.46389,0.47884,0.45848,0.30147,1.26812,1.74162,1.44327,0.000240639,0.000240639,0.000240639
13,384.857,1.16721,1.77236,1.37445,0.51314,0.44363,0.45297,0.31611,1.25375,1.77218,1.43207,0.000235788,0.000235788,0.000235788
14,414.384,1.14875,1.7663,1.36967,0.46765,0.44467,0.45995,0.32241,1.23954,1.68981,1.41328,0.000230937,0.000230937,0.000230937
15,443.857,1.15561,1.70728,1.36005,0.50814,0.46605,0.49015,0.33458,1.25019,1.65882,1.43534,0.000226086,0.000226086,0.000226086
16,473.209,1.14725,1.68032,1.35584,0.42484,0.50742,0.48046,0.3251,1.2604,1.64693,1.44134,0.000221235,0.000221235,0.000221235
17,502.855,1.12918,1.62563,1.34235,0.5559,0.49029,0.51005,0.35227,1.2559,1.58899,1.43411,0.000216384,0.000216384,0.000216384
18,532.325,1.11906,1.55081,1.33729,0.47441,0.48966,0.49176,0.34077,1.24232,1.6337,1.42712,0.000211533,0.000211533,0.000211533
19,561.713,1.10959,1.5454,1.33461,0.50583,0.52003,0.50594,0.34745,1.25074,1.61201,1.41903,0.000206682,0.000206682,0.000206682
20,591.266,1.11012,1.52841,1.32839,0.45624,0.49303,0.48147,0.33094,1.24497,1.66615,1.42705,0.000201831,0.000201831,0.000201831
21,620.972,1.11364,1.47669,1.32304,0.49348,0.55252,0.51997,0.36451,1.22891,1.57001,1.40236,0.00019698,0.00019698,0.00019698
22,650.76,1.10342,1.49008,1.32437,0.4429,0.50718,0.49755,0.35056,1.23468,1.6149,1.4102,0.000192129,0.000192129,0.000192129
23,680.413,1.09701,1.46078,1.32357,0.4661,0.5255,0.50466,0.35251,1.24914,1.6148,1.43876,0.000187278,0.000187278,0.000187278
24,709.939,1.09298,1.42834,1.31556,0.47559,0.55504,0.51515,0.35104,1.24839,1.58666,1.41943,0.000182427,0.000182427,0.000182427
25,739.569,1.08717,1.38667,1.30723,0.53509,0.47474,0.51165,0.35726,1.22915,1.55015,1.41322,0.000177576,0.000177576,0.000177576
26,769.199,1.07203,1.33778,1.29435,0.50547,0.54098,0.53254,0.37548,1.22579,1.57767,1.41453,0.000172725,0.000172725,0.000172725
27,799.259,1.06534,1.32778,1.30425,0.50577,0.53746,0.52603,0.36828,1.23186,1.60985,1.43217,0.000167874,0.000167874,0.000167874
28,828.794,1.05343,1.30898,1.28998,0.52838,0.48813,0.50553,0.35472,1.23301,1.63612,1.43749,0.000163023,0.000163023,0.000163023
29,858.727,1.04174,1.2665,1.27724,0.47816,0.56076,0.53721,0.37362,1.25306,1.55584,1.44418,0.000158172,0.000158172,0.000158172
30,888.365,1.0345,1.27107,1.27806,0.52899,0.51514,0.53412,0.37324,1.235,1.52975,1.43508,0.000153321,0.000153321,0.000153321
31,918.315,1.03431,1.23384,1.27586,0.5024,0.51669,0.5261,0.36155,1.25554,1.57068,1.44617,0.00014847,0.00014847,0.00014847
32,947.982,1.02308,1.18638,1.26246,0.55758,0.50415,0.52595,0.36225,1.24121,1.52994,1.42534,0.000143619,0.000143619,0.000143619
33,977.663,1.03421,1.20412,1.27329,0.552,0.49012,0.52912,0.36695,1.23596,1.58428,1.43314,0.000138768,0.000138768,0.000138768
34,1007.31,1.0121,1.16889,1.2713,0.51247,0.52645,0.5341,0.36858,1.23777,1.55728,1.44493,0.000133917,0.000133917,0.000133917
35,1037.03,1.01598,1.15689,1.26278,0.5544,0.53727,0.55886,0.38766,1.22937,1.5275,1.42821,0.000129066,0.000129066,0.000129066
36,1066.66,1.01132,1.126,1.2538,0.54904,0.50843,0.52564,0.36454,1.23744,1.58377,1.439,0.000124215,0.000124215,0.000124215
37,1096.77,0.99714,1.10047,1.2589,0.60011,0.51734,0.5505,0.38219,1.21732,1.54025,1.42505,0.000119364,0.000119364,0.000119364
38,1126.55,0.99257,1.07675,1.24957,0.57764,0.53359,0.55132,0.37964,1.23453,1.51289,1.43412,0.000114513,0.000114513,0.000114513
39,1156.47,0.98243,1.06323,1.24514,0.56316,0.5202,0.54424,0.37237,1.25348,1.56699,1.45091,0.000109662,0.000109662,0.000109662
40,1186.06,0.96814,1.05636,1.2346,0.57415,0.54794,0.56396,0.39119,1.21743,1.51352,1.42841,0.000104811,0.000104811,0.000104811
41,1216.35,0.96742,1.01252,1.23352,0.55685,0.52767,0.55176,0.38067,1.23951,1.52516,1.43424,9.996e-05,9.996e-05,9.996e-05
42,1245.96,0.96314,1.02302,1.22865,0.56059,0.50568,0.54702,0.37155,1.23168,1.53509,1.43356,9.5109e-05,9.5109e-05,9.5109e-05
43,1275.48,0.95958,0.98605,1.22046,0.57381,0.50798,0.55207,0.37928,1.23103,1.5505,1.43603,9.0258e-05,9.0258e-05,9.0258e-05
44,1305.01,0.94906,1.00301,1.22947,0.62347,0.49541,0.55476,0.38929,1.231,1.559,1.43756,8.5407e-05,8.5407e-05,8.5407e-05
45,1334.86,0.93923,0.96801,1.21209,0.62593,0.50108,0.55403,0.38671,1.22746,1.56797,1.43224,8.0556e-05,8.0556e-05,8.0556e-05
46,1364.91,0.93917,0.96281,1.21727,0.64121,0.49981,0.56656,0.39315,1.22037,1.53835,1.42359,7.5705e-05,7.5705e-05,7.5705e-05
47,1394.71,0.94101,0.93939,1.21524,0.57045,0.51977,0.55212,0.38504,1.22159,1.54012,1.42263,7.0854e-05,7.0854e-05,7.0854e-05
48,1424.44,0.92159,0.9342,1.20031,0.56102,0.52025,0.55676,0.38863,1.22238,1.56293,1.43697,6.6003e-05,6.6003e-05,6.6003e-05
49,1454.06,0.92266,0.91494,1.20649,0.54704,0.5638,0.55904,0.38695,1.21999,1.57518,1.41987,6.1152e-05,6.1152e-05,6.1152e-05
50,1483.66,0.91143,0.88622,1.18936,0.5958,0.49249,0.55168,0.38236,1.23157,1.59926,1.43495,5.6301e-05,5.6301e-05,5.6301e-05
51,1540.74,0.86343,0.77719,1.18532,0.55371,0.53618,0.55814,0.3889,1.2237,1.53537,1.42765,5.145e-05,5.145e-05,5.145e-05
52,1569.84,0.83594,0.73604,1.15722,0.52812,0.53695,0.55656,0.38774,1.22607,1.55697,1.43253,4.6599e-05,4.6599e-05,4.6599e-05
53,1599.28,0.82988,0.71822,1.16029,0.61671,0.50172,0.55694,0.38991,1.23172,1.55859,1.42774,4.1748e-05,4.1748e-05,4.1748e-05
54,1628.47,0.82625,0.6902,1.1544,0.55789,0.52677,0.55372,0.38943,1.22424,1.59778,1.43341,3.6897e-05,3.6897e-05,3.6897e-05
